 Date, Time, Reading
 2015-09-12, 04:02:09.201,238000
 2015-09-12, 04:02:39.195,235000
 2015-09-12, 04:03:09.190,237000
 2015-09-12, 04:03:39.206,238000
 2015-09-12, 04:04:09.202,240000
 2015-09-12, 04:04:39.201,240000
 2015-09-12, 04:05:09.203,238000
 2015-09-12, 04:05:39.202,238000
 2015-09-12, 04:06:09.219,237000
 2015-09-12, 04:06:39.206,236000
 2015-09-12, 04:07:09.203,236000
 2015-09-12, 04:07:39.207,236000
 2015-09-12, 04:08:09.193,237000
 2015-09-12, 04:08:39.208,235000
 2015-09-12, 04:09:09.204,235000
 2015-09-12, 04:09:39.201,234000
 2015-09-12, 04:10:09.197,147000
 2015-09-12, 04:10:39.201,148000
 2015-09-12, 04:11:09.208,146000
 2015-09-12, 04:11:39.204,146000
 2015-09-12, 04:12:09.209,147000
 2015-09-12, 04:12:39.203,147000
 2015-09-12, 04:13:09.200,147000
 2015-09-12, 04:13:39.208,146000
 2015-09-12, 04:14:09.202,91000
 2015-09-12, 04:14:39.209,91000
 2015-09-12, 04:15:09.203,91000
 2015-09-12, 04:15:39.211,92000
 2015-09-12, 04:16:09.206,91000
 2015-09-12, 04:16:39.210,91000
 2015-09-12, 04:17:09.217,91000
 2015-09-12, 04:17:39.213,91000
 2015-09-12, 04:18:09.218,92000
 2015-09-12, 04:18:39.204,91000
 2015-09-12, 04:19:09.208,91000
 2015-09-12, 04:19:39.215,91000
 2015-09-12, 04:20:09.211,90000
 2015-09-12, 04:20:39.215,91000
 2015-09-12, 04:21:09.212,91000
 2015-09-12, 04:21:39.218,91000
 2015-09-12, 04:22:09.205,91000
 2015-09-12, 04:22:39.209,91000
 2015-09-12, 04:23:09.215,92000
 2015-09-12, 04:23:39.212,91000
 2015-09-12, 04:24:09.218,91000
 2015-09-12, 04:24:39.213,91000
 2015-09-12, 04:25:09.209,91000
 2015-09-12, 04:25:39.215,91000
 2015-09-12, 04:26:09.220,91000
 2015-09-12, 04:26:39.216,90000
 2015-09-12, 04:27:09.221,91000
 2015-09-12, 04:27:39.217,91000
 2015-09-12, 04:28:09.224,91000
 2015-09-12, 04:28:39.218,91000
 2015-09-12, 04:29:09.222,91000
 2015-09-12, 04:29:39.210,91000
 2015-09-12, 04:30:09.227,91000
 2015-09-12, 04:30:39.223,92000
 2015-09-12, 04:31:09.218,91000
 2015-09-12, 04:31:39.214,91000
 2015-09-12, 04:32:09.220,91000
 2015-09-12, 04:32:39.225,91000
 2015-09-12, 04:33:09.221,92000
 2015-09-12, 04:33:39.217,91000
 2015-09-12, 04:34:09.214,91000
 2015-09-12, 04:34:39.218,91000
 2015-09-12, 04:35:09.225,91000
 2015-09-12, 04:35:39.223,92000
 2015-09-12, 04:36:09.218,91000
 2015-09-12, 04:36:39.224,149000
 2015-09-12, 04:37:09.229,152000
 2015-09-12, 04:37:39.225,152000
 2015-09-12, 04:38:09.221,270000
 2015-09-12, 04:38:39.225,245000
 2015-09-12, 04:39:09.233,238000
 2015-09-12, 04:39:39.220,236000
 2015-09-12, 04:40:09.227,234000
 2015-09-12, 04:40:39.233,234000
 2015-09-12, 04:41:09.227,234000
 2015-09-12, 04:41:39.226,234000
 2015-09-12, 04:42:09.230,235000
 2015-09-12, 04:42:39.237,236000
 2015-09-12, 04:43:09.233,237000
 2015-09-12, 04:43:39.229,236000
 2015-09-12, 04:44:09.226,235000
 2015-09-12, 04:44:39.230,236000
 2015-09-12, 04:45:09.227,235000
 2015-09-12, 04:45:39.221,236000
 2015-09-12, 04:46:09.237,234000
 2015-09-12, 04:46:39.232,234000
 2015-09-12, 04:47:09.228,234000
 2015-09-12, 04:47:39.247,234000
 2015-09-12, 04:48:09.231,235000
 2015-09-12, 04:48:39.237,233000
 2015-09-12, 04:49:09.232,147000
 2015-09-12, 04:49:39.230,147000
 2015-09-12, 04:50:09.237,194000
 2015-09-12, 04:50:39.241,197000
 2015-09-12, 04:51:09.237,198000
 2015-09-12, 04:51:39.234,166000
 2015-09-12, 04:52:09.240,166000
 2015-09-12, 04:52:39.234,166000
 2015-09-12, 04:53:09.241,180000
 2015-09-12, 04:53:39.247,124000
 2015-09-12, 04:54:09.242,114000
 2015-09-12, 04:54:39.238,110000
 2015-09-12, 04:55:09.243,109000
 2015-09-12, 04:55:39.239,110000
 2015-09-12, 04:56:09.243,109000
 2015-09-12, 04:56:39.240,110000
 2015-09-12, 04:57:09.234,168000
 2015-09-12, 04:57:39.242,373000
 2015-09-12, 04:58:09.239,367000
 2015-09-12, 04:58:39.243,373000
 2015-09-12, 04:59:09.238,398000
 2015-09-12, 04:59:39.312,439000
 2015-09-12, 05:00:09.240,434000
 2015-09-12, 05:00:39.247,438000
 2015-09-12, 05:01:09.241,436000
 2015-09-12, 05:01:39.236,436000
 2015-09-12, 05:02:09.244,430000
 2015-09-12, 05:03:39.324,434000
 2015-09-12, 05:04:24.434,433000
 2015-09-12, 05:04:39.242,557000
 2015-09-12, 05:05:09.246,529000
 2015-09-12, 05:05:39.253,518000
 2015-09-12, 05:06:09.259,516000
 2015-09-12, 05:06:39.244,519000
 2015-09-12, 05:07:09.250,516000
 2015-09-12, 05:07:39.256,516000
 2015-09-12, 05:09:09.254,516000
 2015-09-12, 05:09:39.326,517000
 2015-09-12, 05:10:09.254,517000
 2015-09-12, 05:10:39.249,512000
 2015-09-12, 05:11:09.255,461000
 2015-09-12, 05:11:39.249,465000
 2015-09-12, 05:12:39.262,465000
 2015-09-12, 05:13:09.409,461000
 2015-09-12, 05:13:39.253,460000
 2015-09-12, 05:14:39.406,465000
 2015-09-12, 05:15:39.257,467000
 2015-09-12, 05:16:09.265,410000
